Link,Team,CTRCT,Cap Hit,Image
https://www.eliteprospects.com/player/33387/elias-lindholm,Boston Bruins,31/32,"$7,750,000",boston_bruins.png
https://www.eliteprospects.com/player/60251/charlie-coyle,Boston Bruins,25/26,"$5,250,000",boston_bruins.png
https://www.eliteprospects.com/player/130786/pavel-zacha,Boston Bruins,26/27,"$4,750,000",boston_bruins.png
https://www.eliteprospects.com/player/272221/trent-frederic,Boston Bruins,24/25,"$2,300,000",boston_bruins.png
https://www.eliteprospects.com/player/247912/morgan-geekie,Boston Bruins,24/25,"$2,000,000",boston_bruins.png
https://www.eliteprospects.com/player/661581/matthew-poitras,Boston Bruins,25/26,"$870,000",boston_bruins.png
https://www.eliteprospects.com/player/276474/mark-kastelic,Boston Bruins,24/25,"$835,000",boston_bruins.png
https://www.eliteprospects.com/player/373899/john-beecher,Boston Bruins,24/25,"$925,000",boston_bruins.png
https://www.eliteprospects.com/player/118656/vinni-lettieri,Boston Bruins,24/25,"$775,000",boston_bruins.png
https://www.eliteprospects.com/player/75038/patrick-brown,Boston Bruins,24/25,"$800,000",boston_bruins.png
https://www.eliteprospects.com/player/395630/georgii-merkulov,Boston Bruins,24/25,"$925,000",boston_bruins.png
https://www.eliteprospects.com/player/300610/marc-mclaughlin,Boston Bruins,24/25,"$775,000",boston_bruins.png
https://www.eliteprospects.com/player/445599/john-farinacci,Boston Bruins,24/25,"$910,000",boston_bruins.png
https://www.eliteprospects.com/player/529247/brett-harrison,Boston Bruins,25/26,"$836,667",boston_bruins.png
https://www.eliteprospects.com/player/290309/trevor-kuntar,Boston Bruins,24/25,"$867,500",boston_bruins.png
https://www.eliteprospects.com/player/552533/riley-duran,Boston Bruins,25/26,"$867,500",boston_bruins.png
https://www.eliteprospects.com/player/284191/jaxon-nelson,Boston Bruins,24/25,"$870,000",boston_bruins.png
https://www.eliteprospects.com/player/597680/dean-letourneau,Boston Bruins,,,boston_bruins.png
https://www.eliteprospects.com/player/738750/jonathan-morello,Boston Bruins,,,boston_bruins.png
https://www.eliteprospects.com/player/603224/christopher-pelosi,Boston Bruins,,,boston_bruins.png
https://www.eliteprospects.com/player/664613/beckett-hendrickson,Boston Bruins,,,boston_bruins.png
https://www.eliteprospects.com/player/512184/andre-gasseau,Boston Bruins,,,boston_bruins.png
https://www.eliteprospects.com/player/638391/dans-locmelis,Boston Bruins,,,boston_bruins.png
https://www.eliteprospects.com/player/618660/ryan-walsh,Boston Bruins,,,boston_bruins.png
https://www.eliteprospects.com/player/623833/cole-spicer,Boston Bruins,,,boston_bruins.png
https://www.eliteprospects.com/player/10439/brad-marchand,Boston Bruins,24/25,"$6,125,000",boston_bruins.png
https://www.eliteprospects.com/player/233448/max-jones,Boston Bruins,25/26,"$1,000,000",boston_bruins.png
https://www.eliteprospects.com/player/291903/riley-tufte,Boston Bruins,24/25,"$775,000",boston_bruins.png
https://www.eliteprospects.com/player/213441/jeffrey-viel,Boston Bruins,25/26,"$775,000",boston_bruins.png
https://www.eliteprospects.com/player/300846/cole-koepke,Boston Bruins,24/25,"$775,000",boston_bruins.png
https://www.eliteprospects.com/player/574611/oskar-jellvik,Boston Bruins,,,boston_bruins.png
https://www.eliteprospects.com/player/316160/jake-schmaltz,Boston Bruins,,,boston_bruins.png
https://www.eliteprospects.com/player/130383/david-pastrnak,Boston Bruins,30/31,"$11,250,000",boston_bruins.png
https://www.eliteprospects.com/player/217051/justin-brazeau,Boston Bruins,24/25,"$775,000",boston_bruins.png
https://www.eliteprospects.com/player/472769/fabian-lysell,Boston Bruins,25/26,"$863,334",boston_bruins.png
https://www.eliteprospects.com/player/642578/casper-nassen,Boston Bruins,,,boston_bruins.png
https://www.eliteprospects.com/player/245142/charlie-mcavoy,Boston Bruins,29/30,"$9,500,000",boston_bruins.png
