"","player_link","player_url","URL","Link","name","team","Image","draft_year","pick_number","Date.of.Birth","Height","Weight","CTRCT","Cap.Hit","Year","Overall","Player.Link","Year_x","Age","Pos","NHL.Seasons","GPNEW","G_GP","A_GP","PTS_GP","SOG_GP","PIM_GP","PLUSMINUS_GP","PPG","PPA","SHG","SHA","BLK_GP","HIT_GP","FOL_GP","FOW_GP","SOGPER"
"1","https://www.eliteprospects.com/player/33896/brian-dumoulin","https://www.eliteprospects.com/player/33896/brian-dumoulin","https://www.eliteprospects.com/player/33896/brian-dumoulin","https://www.eliteprospects.com/player/33896/brian-dumoulin","Brian Dumoulin","Anaheim Ducks","anaheim_ducks.png",2009,51,"1991-09-06",193,207,"24/25","$3,150,000",2009,51,"/players/d/dumoubr01.html",2024,33,"D",12,80,0.0414154172272786,0.165262905461038,0.206678322688316,0.894270893438614,0.246599469206973,0.0477447810654305,0,0,0,0.00231227568172947,1.31797493731589,1.11097943920233,0,0,0.0463119369434353
"2","https://www.eliteprospects.com/player/31261/cam-fowler","https://www.eliteprospects.com/player/31261/cam-fowler","https://www.eliteprospects.com/player/31261/cam-fowler","https://www.eliteprospects.com/player/31261/cam-fowler","Cam Fowler","Anaheim Ducks","anaheim_ducks.png",2010,12,"1991-12-05",188,214,"25/26","$6,500,000",2010,12,"/players/f/fowleca01.html",2024,33,"D",15,80.5714285714286,0.0772171534761934,0.406262747902108,0.483479901378302,1.32768381344574,0.251173747391379,-0.228923169671545,0.0313638386085225,0.120720253543429,0,0.0104472311429532,1.39457108265794,0.442549596447044,0,0,0.0581592941739583
"3","https://www.eliteprospects.com/player/18085/radko-gudas","https://www.eliteprospects.com/player/18085/radko-gudas","https://www.eliteprospects.com/player/18085/radko-gudas","https://www.eliteprospects.com/player/18085/radko-gudas","Radko Gudas","Anaheim Ducks","anaheim_ducks.png",2010,66,"1990-06-05",183,207,"25/26","$4,000,000",2010,66,"/players/g/gudasra01.html",2024,34,"D",13,69.2857142857143,0.0501165630856994,0.156208879990554,0.206325443076254,1.20451830121057,1.66906012848734,0.202555325513984,0,0,9.15496113018514e-05,0.00990033809537215,1.9119490748369,3.8753888836179,0,0,0.0416071412408855
"4","https://www.eliteprospects.com/player/180538/urho-vaakanainen","https://www.eliteprospects.com/player/180538/urho-vaakanainen","https://www.eliteprospects.com/player/180538/urho-vaakanainen","https://www.eliteprospects.com/player/180538/urho-vaakanainen","Urho Vaakanainen","Anaheim Ducks","anaheim_ducks.png",2017,18,"1999-01-01",188,201,"24/25","$1,100,000",2017,18,"/players/v/vaakaur01.html",2024,26,"D",7,49.5714285714286,0.0130697550139608,0.166345498016567,0.179415253030528,1.1138447612382,0.377061473211256,-0.276537414275203,0,0.00241012416021121,0,0.00143221942216008,1.33719260974343,0.88455965739815,0,0,0.0117339107466213
"5","https://www.eliteprospects.com/player/156923/robby-fabbri","https://www.eliteprospects.com/player/156923/robby-fabbri","https://www.eliteprospects.com/player/156923/robby-fabbri","https://www.eliteprospects.com/player/156923/robby-fabbri","Robby Fabbri","Anaheim Ducks","anaheim_ducks.png",2014,21,"1996-01-22",180,185,"24/25","$4,000,000",2014,21,"/players/f/fabbrro01.html",2024,29,"C",9,54.8571428571429,0.25694211953006,0.231417431376478,0.488359550906538,1.4354189185918,0.606577415028023,-0.247179067510179,0.0740731857581962,0.0917475255803408,0,0,0.442743905444072,1.35184248986013,1.74932686927256,2.40971458572261,0.179001486048498
"6","https://www.eliteprospects.com/player/160158/jansen-harkins","https://www.eliteprospects.com/player/160158/jansen-harkins","https://www.eliteprospects.com/player/160158/jansen-harkins","https://www.eliteprospects.com/player/160158/jansen-harkins","Jansen Harkins","Anaheim Ducks","anaheim_ducks.png",2015,47,"1997-05-23",188,187,"25/26","$787,500",2015,47,"/players/h/harkija01.html",2024,27,"C",6,43,0.0620225381813892,0.0921485394349441,0.154171077616333,0.863729834808378,0.469105162276282,-0.152400690483592,0,0,0,0,0.340215335307811,1.32303704485271,0.286505594756503,0.349156566749344,0.0718077987836893
"7","https://www.eliteprospects.com/player/106154/ross-johnston","https://www.eliteprospects.com/player/106154/ross-johnston","https://www.eliteprospects.com/player/106154/ross-johnston","https://www.eliteprospects.com/player/106154/ross-johnston","Ross Johnston","Anaheim Ducks","anaheim_ducks.png",0,250,"1994-02-18",195,231,"25/26","$1,100,000",NA,NA,"/players/j/johnsro02.html",2024,30,"LW",9,48,0.0173878592478256,0.0659247947447359,0.0833126539925615,0.509938237878931,1.63252930702442,-0.170405004286937,0,0,0,0,0.440791259653376,2.11875542271821,0.0564119256057659,0.053402280427058,0.0340979710016447
"8","https://www.eliteprospects.com/player/12523/alex-killorn","https://www.eliteprospects.com/player/12523/alex-killorn","https://www.eliteprospects.com/player/12523/alex-killorn","https://www.eliteprospects.com/player/12523/alex-killorn","Alex Killorn","Anaheim Ducks","anaheim_ducks.png",2007,77,"1989-09-14",185,194,"26/27","$6,250,000",2007,77,"/players/k/killoal01.html",2024,35,"C",13,71.1428571428571,0.24327837457054,0.315916513411839,0.559194887982379,1.8446189713391,0.767065548413559,-0.0802430286653549,0.0473757225793017,0.0549786107953672,0.00385167650015277,0.00255765828444973,0.400570223408192,1.04715936850728,0.375538809587663,0.259135832059667,0.131885434526314
"9","https://www.eliteprospects.com/player/257755/brett-leason","https://www.eliteprospects.com/player/257755/brett-leason","https://www.eliteprospects.com/player/257755/brett-leason","https://www.eliteprospects.com/player/257755/brett-leason","Brett Leason","Anaheim Ducks","anaheim_ducks.png",2019,56,"1999-04-30",195,218,"24/25","$1,050,000",2019,56,"/players/l/leasobr01.html",2024,25,"RW",4,59.4285714285714,0.145829025177634,0.138515915820568,0.284344940998203,1.31850507229586,0.245348145491343,-0.175429384258781,0,0,0.00243068851533488,0,0.734478310349834,1.10150320515901,0.619463378930857,0.489029965728907,0.11060179307745
"10","https://www.eliteprospects.com/player/265570/isac-lundestrom","https://www.eliteprospects.com/player/265570/isac-lundestrom","https://www.eliteprospects.com/player/265570/isac-lundestrom","https://www.eliteprospects.com/player/265570/isac-lundestrom","Isac Lundestrom","Anaheim Ducks","anaheim_ducks.png",2018,23,"1999-11-06",184,192,"24/25","$1,500,000",2018,23,"/players/l/lundeis01.html",2024,25,"C",7,55.1428571428571,0.129411887294553,0.152993211579924,0.282405098874477,0.942000971751703,0.0563194957856581,-0.188417047809338,0,0.00774468960396038,0.018027261191176,0,0.71196164601252,0.77824737861394,4.69861916170178,4.13064218044423,0.137379781099274
