player_link,player_url,URL,Link,name,Player Link
https://www.eliteprospects.com/player/236340/lukas-dostal,https://www.eliteprospects.com/player/236340/lukas-dostal,https://www.eliteprospects.com/player/236340/lukas-dostal,,Lukas dostal,
https://www.eliteprospects.com/player/45399/john-gibson,https://www.eliteprospects.com/player/45399/john-gibson,https://www.eliteprospects.com/player/45399/john-gibson,,John gibson,
https://www.eliteprospects.com/player/33896/brian-dumoulin,https://www.eliteprospects.com/player/33896/brian-dumoulin,https://www.eliteprospects.com/player/33896/brian-dumoulin,https://www.eliteprospects.com/player/33896/brian-dumoulin,Brian Dumoulin,/players/d/dumoubr01.html
https://www.eliteprospects.com/player/31261/cam-fowler,https://www.eliteprospects.com/player/31261/cam-fowler,https://www.eliteprospects.com/player/31261/cam-fowler,https://www.eliteprospects.com/player/31261/cam-fowler,Cam Fowler,/players/f/fowleca01.html
https://www.eliteprospects.com/player/18085/radko-gudas,https://www.eliteprospects.com/player/18085/radko-gudas,https://www.eliteprospects.com/player/18085/radko-gudas,https://www.eliteprospects.com/player/18085/radko-gudas,Radko Gudas,/players/g/gudasra01.html
https://www.eliteprospects.com/player/369937/jackson-lacombe,https://www.eliteprospects.com/player/369937/jackson-lacombe,https://www.eliteprospects.com/player/369937/jackson-lacombe,https://www.eliteprospects.com/player/369937/jackson-lacombe,Jackson LaCombe,/players/l/lacomja01.html
https://www.eliteprospects.com/player/527453/pavel-mintyukov,https://www.eliteprospects.com/player/527453/pavel-mintyukov,https://www.eliteprospects.com/player/527453/pavel-mintyukov,https://www.eliteprospects.com/player/527453/pavel-mintyukov,Pavel Mintyukov,/players/m/mintypa01.html
https://www.eliteprospects.com/player/180538/urho-vaakanainen,https://www.eliteprospects.com/player/180538/urho-vaakanainen,https://www.eliteprospects.com/player/180538/urho-vaakanainen,https://www.eliteprospects.com/player/180538/urho-vaakanainen,Urho Vaakanainen,/players/v/vaakaur01.html
https://www.eliteprospects.com/player/476596/olen-zellweger,https://www.eliteprospects.com/player/476596/olen-zellweger,https://www.eliteprospects.com/player/476596/olen-zellweger,https://www.eliteprospects.com/player/476596/olen-zellweger,Olen Zellweger,/players/z/zellwol01.html
https://www.eliteprospects.com/player/448944/leo-carlsson,https://www.eliteprospects.com/player/448944/leo-carlsson,https://www.eliteprospects.com/player/448944/leo-carlsson,https://www.eliteprospects.com/player/448944/leo-carlsson,Leo Carlsson,/players/c/carlsle01.html
https://www.eliteprospects.com/player/156923/robby-fabbri,https://www.eliteprospects.com/player/156923/robby-fabbri,https://www.eliteprospects.com/player/156923/robby-fabbri,https://www.eliteprospects.com/player/156923/robby-fabbri,Robby Fabbri,/players/f/fabbrro01.html
https://www.eliteprospects.com/player/526094/cutter-gauthier,https://www.eliteprospects.com/player/526094/cutter-gauthier,https://www.eliteprospects.com/player/526094/cutter-gauthier,https://www.eliteprospects.com/player/526094/cutter-gauthier,Cutter Gauthier,/players/g/gauthcu01.html
https://www.eliteprospects.com/player/160158/jansen-harkins,https://www.eliteprospects.com/player/160158/jansen-harkins,https://www.eliteprospects.com/player/160158/jansen-harkins,https://www.eliteprospects.com/player/160158/jansen-harkins,Jansen Harkins,/players/h/harkija01.html
https://www.eliteprospects.com/player/106154/ross-johnston,https://www.eliteprospects.com/player/106154/ross-johnston,https://www.eliteprospects.com/player/106154/ross-johnston,https://www.eliteprospects.com/player/106154/ross-johnston,Ross Johnston,/players/j/johnsro02.html
https://www.eliteprospects.com/player/12523/alex-killorn,https://www.eliteprospects.com/player/12523/alex-killorn,https://www.eliteprospects.com/player/12523/alex-killorn,https://www.eliteprospects.com/player/12523/alex-killorn,Alex Killorn,/players/k/killoal01.html
https://www.eliteprospects.com/player/257755/brett-leason,https://www.eliteprospects.com/player/257755/brett-leason,https://www.eliteprospects.com/player/257755/brett-leason,https://www.eliteprospects.com/player/257755/brett-leason,Brett Leason,/players/l/leasobr01.html
https://www.eliteprospects.com/player/265570/isac-lundestrom,https://www.eliteprospects.com/player/265570/isac-lundestrom,https://www.eliteprospects.com/player/265570/isac-lundestrom,https://www.eliteprospects.com/player/265570/isac-lundestrom,Isac Lundestr̦m,/players/l/lundeis01.html
